,X,P,Termination,Time,Objective,Steam,Bypass Frac,CH4 Feed
0,0.9,1447379.0,optimal,1.3427605420000006,0.40932774509433567,349.8633796663303,0.3648362839059403,1249.999920531083
1,0.9,1517379.0,maxIterations,3.915235333,0.33924255353321014,336.43824952030513,0.4458062914147045,1243.6692314588213
2,0.9,1587379.0,optimal,1.0440984160000006,0.4117772498355517,349.8633884357925,0.3599398038139822,1249.9999172346213
3,0.9,1657379.0,optimal,1.8793829160000008,0.4128838972142998,349.8633919563176,0.3577077254884532,1249.9999157317582
4,0.9,1727379.0,maxIterations,3.515312667,0.2941146410961243,338.2032226091765,0.5011463001903054,1244.0785537119048
5,0.9,1797379.0,optimal,1.099540042000001,0.4149035212712304,349.8633977571769,0.3535993988139309,1249.999912972052
6,0.9,1867379.0,maxIterations,4.794656000000003,0.15375341001029869,348.5055866621258,0.496512099216841,1249.3988554394516
7,0.9,1937379.0,maxIterations,3.8817412499999975,0.43844144716757644,338.69480916442944,0.6263494830416191,1238.6050772006588
8,0.91,1447379.0,maxIterations,4.396116165999999,0.2677932319060904,287.1969905919154,0.5731112043716666,1228.060368697749
9,0.91,1517379.0,optimal,1.0638912500000046,0.4082742465451193,349.8633795650358,0.3731484387405076,1249.999921018462
10,0.91,1587379.0,optimal,1.1487667500000072,0.4095029912228489,349.86338402193,0.3707395072403482,1249.999919455187
11,0.91,1657379.0,maxIterations,4.289092124999996,0.11748385328984993,200.06426290735357,0.6978285281517448,1249.9931708866886
12,0.91,1727379.0,optimal,1.145589875000013,0.41173408386902216,349.863391255505,0.3663307231764278,1249.9999165986255
13,0.91,1797379.0,maxIterations,3.4581854169999957,0.1536674806549643,349.8181383945029,0.5783015031691092,1249.9881472691548
14,0.91,1867379.0,maxIterations,3.5566220000000044,0.14734619898639675,349.7867609210968,0.5621162904780154,1249.9902508350683
15,0.91,1937379.0,optimal,1.0923409580000083,0.4146281217734346,349.86339920096987,0.36053843128599816,1249.9999128722668
16,0.92,1447379.0,maxIterations,3.9013320000000107,0.15292318300170335,280.71564503011984,0.4762646546084578,1237.4553086296046
17,0.92,1517379.0,optimal,1.1436651669999947,0.40577002194099965,349.86337382676754,0.3839293416866437,1249.9999230457024
18,0.92,1587379.0,optimal,1.0960813749999971,0.40704586106021357,349.86337873904887,0.38147545016389367,1249.999921514382
19,0.92,1657379.0,maxIterations,3.6642858749999903,0.10169587603238797,343.510307148804,0.539004684063214,1249.9944834823782
20,0.92,1727379.0,maxIterations,4.514052332999995,0.4093190978356191,349.8115660902638,0.3770476574979592,1249.981401276668
21,0.92,1797379.0,maxIterations,4.774843207999993,0.3309115334507761,269.2980750500868,0.46160140022856616,1129.3889021042899
22,0.92,1867379.0,maxIterations,3.612714374999996,0.1419850158786122,349.8401120946732,0.6234560263487595,1249.9984167996454
23,0.92,1937379.0,maxIterations,3.1963472090000096,0.1499057114426026,329.23554742104915,0.5790516884150716,1248.6181946710624
24,0.93,1447379.0,maxIterations,3.7760174580000125,0.22245619479951162,348.07261277515954,0.5468729325707645,1249.9347673565617
25,0.93,1517379.0,maxIterations,4.757256541999993,0.16349576041657646,349.83540801760086,0.507853710276258,1249.9969600711213
26,0.93,1587379.0,optimal,1.167651540999998,0.40443208349751647,349.863372391463,0.3921397310618642,1249.9999233886494
27,0.93,1657379.0,optimal,1.0912498749999884,0.40567047334826417,349.8633770716391,0.3897848152707078,1249.999921978762
28,0.93,1727379.0,maxIterations,4.725421624999996,0.4990090335394439,276.7356132954621,0.42629499956230693,1193.725563208075
29,0.93,1797379.0,optimal,1.268235666999999,0.40793038168273216,349.8633847162309,0.3854594354541722,1249.999919400955
30,0.93,1867379.0,maxIterations,3.572499332999996,0.14818910327380544,321.9784375848367,0.5536592597273988,1237.17773151375
31,0.93,1937379.0,optimal,2.135650499999997,0.40994913022218504,349.8633906750567,0.3815623979752151,1249.9999170999156
32,0.94,1447379.0,optimal,1.5041043749999972,0.3988509683698307,349.86335169625613,0.4080190746024868,1249.9999281276746
33,0.94,1517379.0,maxIterations,3.7500077089999877,0.16560743315861337,349.862585254193,0.5508759802274412,1249.9999247972669
34,0.94,1587379.0,optimal,1.454857292000014,0.401689164869859,349.8633647709232,0.4027242862154967,1249.9999250768417
35,0.94,1657379.0,optimal,1.287796458999992,0.4029711543171094,349.86336994291383,0.40031809509941174,1249.9999236931922
36,0.94,1727379.0,maxIterations,3.6931566250000003,0.23280535096907215,264.27969870845493,0.6088136052817344,1245.5523414882528
37,0.94,1797379.0,maxIterations,3.6460106250000024,0.26652860575235443,225.0528622416729,0.5290531662236079,1249.9200725535238
38,0.94,1867379.0,maxIterations,3.6898182920000124,0.1470414302279315,340.6372251731363,0.6331273690022607,1249.9985238912232
39,0.94,1937379.0,maxIterations,3.604824041000029,0.15320238392083604,305.2356452928172,0.6170794656439861,1234.0852864915257
40,0.95,1447379.0,maxIterations,3.6357811670000046,0.4487194364287975,301.51979406110667,0.48500338233092205,1212.2043979289465
41,0.95,1517379.0,maxIterations,3.8451154580000093,0.2856811832056475,314.1054545681296,0.5133363591026664,1249.6596971489487
42,0.95,1587379.0,maxIterations,3.775757542000008,0.31341617767432706,292.62889935754305,0.47304878021395397,1188.32274360083
43,0.95,1657379.0,maxIterations,4.4849431249999725,0.16344337327276512,346.93603826855764,0.6373850920736348,1250.0
44,0.95,1727379.0,maxIterations,3.455548207999982,0.4534203741668132,349.8636256264249,2.2234222076669067e-10,1120.0
45,0.95,1797379.0,maxIterations,3.513797082999986,0.13621210957943794,349.8624950265584,0.4924362792780075,1120.000461687818
46,0.95,1867379.0,maxIterations,3.5866936250000094,0.15439585561869,349.83349974996725,0.5499359201729443,1249.0399588841883
47,0.95,1937379.0,maxIterations,3.5099561669999844,0.14924280137231985,344.32701525653,0.6036438763782903,1233.562145248543
48,0.96,1447379.0,maxIterations,3.2351047919999587,0.23907787656944648,299.4847358051724,0.5535328557656891,1236.285400578888
49,0.96,1517379.0,maxIterations,3.176914791999991,0.2545635312776636,284.56504526480774,0.5056316686135688,1198.0949265278502
50,0.96,1587379.0,maxIterations,3.576320833000011,0.16183892508990005,349.8472610651408,0.48325186495045797,1249.9958767651453
51,0.96,1657379.0,maxIterations,3.8653801250000015,0.32791803526403046,293.41468666067846,0.4812971697868452,1186.0918871113654
52,0.96,1727379.0,maxIterations,3.658190750000017,0.18037852358279013,318.52835261912725,0.5851318480585526,1249.9996461180392
53,0.96,1797379.0,maxIterations,4.024239665999971,0.1292330096470041,289.3327893126301,0.5355517571082106,1233.3128039851229
54,0.96,1867379.0,maxIterations,3.3339686250000113,0.18973344077320906,345.09349150950476,0.5564494616344522,1248.1193972025228
55,0.96,1937379.0,maxIterations,3.6778662910000435,0.334169666388521,320.657243381516,0.5376515308147921,1179.7882066822247
56,0.97,1447379.0,maxIterations,4.184846250000021,0.43356242092609004,327.13039752384464,0.5500355211824055,1245.5019378682746
57,0.97,1517379.0,maxIterations,3.4216841669999667,0.27758208434397197,279.36670288486846,0.5660086677579838,1235.7895404000794
58,0.97,1587379.0,maxIterations,3.6121058339999763,0.248203847982116,289.8845962973885,0.5536740581491684,1233.7007706067689
59,0.97,1657379.0,maxIterations,3.5524769169999786,0.28540434091002315,328.69752141993496,0.5584391494671261,1248.8961129172976
60,0.97,1727379.0,maxIterations,4.340892416000031,0.25798510115338147,294.49055090822526,0.5036899362658557,1202.071942485934
61,0.97,1797379.0,maxIterations,3.7990575000000035,0.1049609167237169,349.8612387066597,0.6066847242811101,1249.9990359758622
62,0.97,1867379.0,maxIterations,3.8861128749999807,0.20636958533171113,200.38411046768297,0.6283873504709535,1249.9960327230974
63,0.97,1937379.0,maxIterations,3.250562000000002,0.18716845071098523,204.57237468210843,0.6831718680977874,1248.8822075427047
