,T,P,Termination,Time,Objective
0,288.15,1447379.0,optimal,3.605692300014198,0.3566005141564147
1,288.15,1502934.5555555555,optimal,3.1934267999604344,0.3581816787636907
2,288.15,1558490.111111111,optimal,3.0939565000589937,0.3596829802924683
3,288.15,1614045.6666666667,optimal,4.312421499984339,0.36111140968655847
4,288.15,1669601.2222222222,optimal,3.357397000072524,0.362473119271674
5,288.15,1725156.7777777778,maxIterations,50.84199800004717,N/A
6,288.15,1780712.3333333333,optimal,4.830445499974303,0.3650175771748456
7,288.15,1836267.888888889,maxIterations,47.945593699929304,N/A
8,288.15,1891823.4444444445,maxIterations,59.09414080006536,N/A
9,288.15,1947379.0,infeasible,33.07211270008702,N/A
10,293.7055555555555,1447379.0,optimal,3.215999300009571,0.35366717504822004
11,293.7055555555555,1502934.5555555555,optimal,7.178581899963319,0.3552717588748923
12,293.7055555555555,1558490.111111111,optimal,4.083095300011337,0.3567950968510571
13,293.7055555555555,1614045.6666666667,optimal,5.066904800012708,0.3582442978797806
14,293.7055555555555,1669601.2222222222,optimal,9.084528100094758,0.3596256186658716
15,293.7055555555555,1725156.7777777778,optimal,6.680881900014356,0.360944606481188
16,293.7055555555555,1780712.3333333333,infeasible,18.425648399977945,N/A
17,293.7055555555555,1836267.888888889,optimal,4.836128499940969,0.36341473154822884
18,293.7055555555555,1891823.4444444445,maxIterations,45.59239580004942,N/A
19,293.7055555555555,1947379.0,maxIterations,55.43436559999827,N/A
20,299.26111111111106,1447379.0,maxIterations,63.204251699964516,N/A
21,299.26111111111106,1502934.5555555555,optimal,8.572202799958177,0.35232537116905777
22,299.26111111111106,1558490.111111111,optimal,4.875049999915063,0.3538712773258573
23,299.26111111111106,1614045.6666666667,optimal,37.567081900080666,0.045928574980275215
24,299.26111111111106,1669601.2222222222,optimal,8.520655500004068,0.356743200231432
25,299.26111111111106,1725156.7777777778,optimal,6.710128600010648,0.35808121847114377
26,299.26111111111106,1780712.3333333333,optimal,5.748032900039107,0.35936082657974044
27,299.26111111111106,1836267.888888889,optimal,3.757398399990052,0.36058649139409926
28,299.26111111111106,1891823.4444444445,maxIterations,62.72958840010688,N/A
29,299.26111111111106,1947379.0,maxIterations,73.27630969998427,N/A
30,304.81666666666666,1447379.0,optimal,6.812673999927938,0.3476878203767805
31,304.81666666666666,1502934.5555555555,optimal,8.810200000065379,0.3493408827623759
32,304.81666666666666,1558490.111111111,optimal,9.040351600036956,0.35090988567847115
33,304.81666666666666,1614045.6666666667,optimal,28.633421099977568,0.35240217555599945
34,304.81666666666666,1669601.2222222222,optimal,5.156356399995275,0.3538242225068349
35,304.81666666666666,1725156.7777777778,optimal,4.3329170000506565,0.3551817557428141
36,304.81666666666666,1780712.3333333333,optimal,3.458425300079398,0.3564798700734372
37,304.81666666666666,1836267.888888889,optimal,13.134251200011931,0.35772310638483545
38,304.81666666666666,1891823.4444444445,maxIterations,55.23939140001312,N/A
39,304.81666666666666,1947379.0,maxIterations,80.5123247000156,N/A
40,310.3722222222222,1447379.0,maxIterations,71.81837200000882,N/A
41,310.3722222222222,1502934.5555555555,optimal,10.188597899978049,0.3463167221907991
42,310.3722222222222,1558490.111111111,optimal,9.53241630003322,0.34790934915389066
43,310.3722222222222,1614045.6666666667,optimal,8.165840199915692,0.3494239467172946
44,310.3722222222222,1669601.2222222222,optimal,10.367745699943043,0.3508671018867311
45,310.3722222222222,1725156.7777777778,optimal,3.7159730000421405,0.35224463299874303
46,310.3722222222222,1780712.3333333333,optimal,3.96790389996022,0.35356172176570533
47,310.3722222222222,1836267.888888889,optimal,3.831467399955727,0.3548229855163869
48,310.3722222222222,1891823.4444444445,maxIterations,66.85866210004315,N/A
49,310.3722222222222,1947379.0,maxIterations,72.72698819998186,N/A
50,315.92777777777775,1447379.0,optimal,14.244216999970376,0.34154766195710046
51,315.92777777777775,1502934.5555555555,optimal,4.008553099934943,0.3432513737010187
52,315.92777777777775,1558490.111111111,optimal,5.412037300062366,0.3448681443294845
53,315.92777777777775,1614045.6666666667,optimal,6.437230100040324,0.3464055615472362
54,315.92777777777775,1669601.2222222222,optimal,22.58604359999299,0.3478703157196395
55,315.92777777777775,1725156.7777777778,optimal,3.680757199996151,0.3492683231109656
56,315.92777777777775,1780712.3333333333,optimal,9.223447300028056,0.35060485152977755
57,315.92777777777775,1836267.888888889,optimal,3.300316800014116,0.35188459550345375
58,315.92777777777775,1891823.4444444445,optimal,5.276761999935843,0.35311176045627474
59,315.92777777777775,1947379.0,maxIterations,53.2266977999825,N/A
60,321.4833333333333,1447379.0,optimal,24.72375860007014,0.33841353062875257
61,321.4833333333333,1502934.5555555555,optimal,20.870408799964935,0.34014337253473653
62,321.4833333333333,1558490.111111111,optimal,6.89819079998415,0.34178480812859335
63,321.4833333333333,1614045.6666666667,optimal,5.613452699966729,0.34334554769520914
64,321.4833333333333,1669601.2222222222,optimal,5.633330299984664,0.3448323888969511
65,321.4833333333333,1725156.7777777778,optimal,4.577888199943118,0.34625135145945085
66,321.4833333333333,1780712.3333333333,optimal,3.8858299999265,0.34760778203214765
67,321.4833333333333,1836267.888888889,optimal,4.137227599974722,0.34890645624125083
68,321.4833333333333,1891823.4444444445,infeasible,42.298185100080445,N/A
69,321.4833333333333,1947379.0,infeasible,27.54328840004746,N/A
70,327.0388888888889,1447379.0,optimal,4.909065799904056,0.3352347972832676
71,327.0388888888889,1502934.5555555555,optimal,4.584457900025882,0.3369913027056012
72,327.0388888888889,1558490.111111111,optimal,3.571864099940285,0.3386579178036334
73,327.0388888888889,1614045.6666666667,optimal,13.204971600091085,0.3402424808201405
74,327.0388888888889,1669601.2222222222,optimal,7.1735518999630585,0.34175189894436303
75,327.0388888888889,1725156.7777777778,optimal,11.961446300032549,0.34319228324172363
76,327.0388888888889,1780712.3333333333,optimal,3.9215973999816924,0.3445690774243542
77,327.0388888888889,1836267.888888889,optimal,4.0980501000303775,0.3458871276861699
78,327.0388888888889,1891823.4444444445,maxIterations,84.37495740002487,N/A
79,327.0388888888889,1947379.0,optimal,6.482239100034349,0.34836395560538586
80,332.59444444444443,1447379.0,optimal,5.094520199927501,0.3320100918625482
81,332.59444444444443,1502934.5555555555,optimal,5.056440899963491,0.333793786014844
82,332.59444444444443,1558490.111111111,optimal,3.4951889000367373,0.33548609729468376
83,332.59444444444443,1614045.6666666667,optimal,12.489167800056748,0.3370949811527941
84,332.59444444444443,1669601.2222222222,optimal,4.071574000059627,0.33862745480965073
85,332.59444444444443,1725156.7777777778,optimal,4.5757198999635875,0.3400897355909116
86,332.59444444444443,1780712.3333333333,optimal,4.966694200062193,0.3414873488729686
87,332.59444444444443,1836267.888888889,optimal,6.174039099947549,0.34282522157520245
88,332.59444444444443,1891823.4444444445,optimal,3.964594900025986,0.3441077760820081
89,332.59444444444443,1947379.0,maxIterations,50.36937349999789,N/A
90,338.15,1447379.0,optimal,6.227896200027317,0.3286860173298869
91,338.15,1502934.5555555555,optimal,5.526024500024505,0.3305488947737861
92,338.15,1558490.111111111,optimal,5.197040400002152,0.33226800678562096
93,338.15,1614045.6666666667,optimal,5.707827500067651,0.3339017028395456
94,338.15,1669601.2222222222,optimal,5.272425499977544,0.33545771794005247
95,338.15,1725156.7777777778,optimal,5.981958599993959,0.33694236013072304
96,338.15,1780712.3333333333,optimal,5.774688899982721,0.338361243310106
97,338.15,1836267.888888889,optimal,5.304183700005524,0.33971938360141535
98,338.15,1891823.4444444445,infeasible,42.31764140003361,N/A
99,338.15,1947379.0,optimal,65.17703539994545,0.045265289585172105
